linea_del_archivo;productos;sublinea_principal;grupo_principal;ejemplo_1;ejemplo_2;categoria_sugerida;confianza;categoria_final_CORREGIR_AQUI
TORNILLO BRISTOL C C DIN 912 8.8 ZINC MM;25;BRISTOL;TORNILLERIA;TORNILLO BRISTOL C C DIN 912 8.8 ZINC MM 5 X 10;TORNILLO BRISTOL C C DIN 912 8.8 ZINC MM 5 X 12;Tornillería;alta;Tornillería
TUERCA SEGURIDAD UNF ZINC;24;TUERCAS;TORNILLERIA;TUERCA SEGURIDAD UNF ZINC 1/4-28;TUERCA SEGURIDAD UNF ZINC 5/16-24;Tornillería;alta;Tornillería
TLLO DRYWALL ZINCADO RO;23;DRYWALL;TORNILLERIA;TORNILLO DRYWALL ZINCADO RO 6 X 1/2;TORNILLO DRYWALL ZINCADO RO 6 X 1/2  CAJA X 1000 UNIDADES;Tornillería;alta;Tornillería
VENTILACION;19;VENTILACION;GRUPO VENTUM;HELICE VENTILADOR REF (VK750-T / VK750-TW);"REJILLA DELANTERA VENTILADOR INDUSTRIAL 30""";;SIN MAPEO;
COMBOS;18;COMBOS;GRUPO NIKATTO;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";"DISCO FINO CORTE METAL & ACERO INOX T41      4-1/2"" X 0.045 ""X 7/8""";;SIN MAPEO;
TLLO LAM HEX P/BROCA ZINC;18;LAMINA HEX;TORNILLERIA;TORNILLO LAM HEX P/BROCA ZINC8 X 1/2;TORNILLO LAM HEX P/BROCA ZINC8 X 5/8;Tornillería;alta;Tornillería
TUERCA HEX DIN 934;17;TUERCAS;TORNILLERIA;TUERCA HEXAG IRIZADA CLASE 6 MM 3-0,5;TUERCA HEXAG IRIZADA CLASE 6 MM 4-0,7;Tornillería;alta;Tornillería
TUERCA SEGURIDAD ZINCADA DIN 985;16;TUERCAS;TORNILLERIA;TUERCA SEGURIDAD ZINC DIN 985M5-0.8;TUERCA SEGURIDAD ZINC DIN 985M6-1;Tornillería;alta;Tornillería
TORNILLO CABEZA AVELLAN ZINCADO;15;CABEZA AVELLANADA;TORNILLERIA;TORN CABEZA AVELLAN PHILL ZINC 3/16 X 3/8;TORN CABEZA AVELLAN PHILL ZINC 3/16 X 1/2;Tornillería;alta;Tornillería
TUERCA HEXAGONAL ZINCADA SAE G2 UNC;14;TUERCAS;TORNILLERIA;TCA HEX ZINCADA SAE G2 UNC 1/8 (5-40);TCA HEX ZINCADA SAE G2 UNC 5/32 (8-32);Tornillería;alta;Tornillería
TUERCA HEXAGONAL  SAE G5 UNC;14;TUERCAS;TORNILLERIA;TUERCA HEXAGONALSAE G5 UNC 1/4-20;TUERCA HEXAGONALSAE G5 UNC 5/16-18;Tornillería;alta;Tornillería
DISCOS ABRASIVOS;13;DISCOS ABRASIVOS;GRUPO NIKATTO;"DISCO DE TRONZADORA PARA CORTE DE METAL DE 14"" EJE DE 1"" ESPESOR 3/32""";DISCO DE CORTE PARA METAL TIPO 42  4-1/2X1/8X7/8 PULG;Herramientas de Corte;alta;Herramientas de Corte
DISCOS DE MADERA;13;DISCOS PARA MADERA;GRUPO DRAGON TOOLS;"DISCO CORTE MADERA 60 DIENTES 10""X1""";DISCO CORTE MADERA 24 DIENTES 4-1/2 X 7/8 X 5/8;Herramientas de Corte;alta;Herramientas de Corte
TUERCA HEXAGONAL NEGRA SAE G2 UNC;13;TUERCAS;TORNILLERIA;TCA HEX NEGRA SAE G2 UNC 1/4-20;TCA HEX NEGRA SAE G2 UNC 5/16-18;Tornillería;alta;Tornillería
ARANDELA PLANA ZINC X KILO;13;ARANDELA PLANA;TORNILLERIA;ARANDELA PLANA ZINCADA X KILO 1/8;ARANDELA PLANA ZINCADA X KILO 5/32;Tornillería;alta;Tornillería
VARILLA GRADO 2 R/TOTAL GALV;13;VARILLAS;TORNILLERIA;TORNILLO CAB LENTEJA  1/4X1/2 ZINC;VARILLA ROSCADA G2 ZN 1/4 X 1 MTRO;Tornillería;alta;Tornillería
PROTO;11;IMPORTADOS PROMOCIONES;GRUPO PROTO;"DADO IMPACTO M.3/4"" X 1.5/16"" 6PT";"DADO IMPACTO M.3/4"" X 30MM 6PT";;SIN MAPEO;
TORNILLO LAMINA HEX C/ARAN Y RAN;11;LAMINA HEX;TORNILLERIA;TORNILLO LAMINA HEX C/ARAN Y RAN  1/4 X 1/2;TORNILLO LAMINA HEX C/ARAN Y RAN  1/4 X 3/4;Tornillería;alta;Tornillería
WASA Y/O ARAND PRESION ZINC;11;ARANDELA;TORNILLERIA;WASA Y/O ARANDELA PRESION ZINCADA 5/32;WASA Y/O ARANDELA PRESION ZINCADA 3/16;Tornillería;media;Tornillería
DALO MARKER;10;DALO MARKER;GRUPO IMPORTADOS;MARCADOR PARA METAL AMARILLO REF.26063 DALO;MARCADOR PARA METAL AZUL DALO REF. 26013;;SIN MAPEO;
DISCOS DIAMANTADOS;10;DISCOS DIAMANTADOS;GRUPO DRAGON TOOLS;"DISCO DIAMANTADO SEGMENTADO 14"" (350MM) X 24D X 1""";"DISCO DIAMANTADO PARA CONCRETO 16"" (405MM)";Herramientas de Corte;alta;Herramientas de Corte
TLLO LAMINA HEX S/ARANDELA;10;LAMINA HEX;TORNILLERIA;TORN LAM HEX S/ARANDELA 1/4 X 3/4;TORN LAM HEX S/ARANDELA 1/4 X 1;Tornillería;alta;Tornillería
ARANDELA PLANA INOX 304 A2;10;INOXIDABLE;TORNILLERIA;ARANDELA PLANA INOX 304 A2 X UNID 3/16;ARANDELA PLANA INOX 304 A2 X UNID 1/4;Tornillería;alta;Tornillería
TUERCA HEX SAE G8 UNC;10;TUERCAS;TORNILLERIA;TUERCA HEXAGONALSAE G8 UNC 1/4-20;TUERCA HEXAGONALSAE G8 UNC 1/2-13;Tornillería;alta;Tornillería
VARILLA ROSCADA INOX 304 A2 UNC;10;INOXIDABLE;OTRA TORNILLERIA;VARILLA ROSCADA INOX 304 A2 UNC X  METRO 1/4;VARILLA ROSCADA INOX 304 A2 UNC X  METRO 5/16;Tornillería;alta;Tornillería
TUERCA HEXAGONAL FLANGE MM BICROM;10;FLANGE;TORNILLERIA;TUERCA HEXAGONAL FLANGE MM BICROM/ZINC 5-0,8;TUERCA HEXAGONAL FLANGE MM BICROM/ZINC 6-1,0;Tornillería;alta;Tornillería
AGRICOLA;9;FUMIGADORAS;GRUPO NIKATTO;PALA CUADRADA PARA AGRICULTURA, DIMENSION: 48 PULG, ALTO 50 CM, ANCHO 22.3 CM;PALA REDONDA PARA AGRICULTURA, DIMENSION: 48 PULG, ALTO 49 CM, ANCHO 21 CM;Herramientas de Soldadura;media;Herramientas de Soldadura
TUERCA HEX INOX 304 A2;9;INOXIDABLE;TORNILLERIA;TUERCA HEXAGONAL  INOX 304 A2 UNC 1/4-20;TUERCA HEXAGONAL  INOX 304 A2 UNC 5/16-18;Tornillería;alta;Tornillería
VITALI;9;VITALI;GRUPO IMPORTADOS;VITALI DIFERENCIAL DE CADENA G80 1TX3MTS CK1;VITALI DIFERENCIAL DE CADENA G80 2TX3MTS CK1;;SIN MAPEO;
GENERADORES;7;GENERADORES;GRUPO PROWELD;GENERADOR DE GASOLINA, MOTOR 2.8HP, POTENCIA NOMINAL 1.1 KW, 110-60HZ,12V,DC TANQUE COMBUSTIBLE: 6 LITROS;GENERADOR DE GASOLINA-SOLDADOR, MOTOR 15.0HP, ARRANQUE ELECTRICO CON BATERIA 18AH, CORRIENTE MAXIMA 220A, CAPACIDAD DE ENTRADA 5.0KW, CORRIENTE SOLDADURA 50-220A, 110/220V-60HZ,1X12V, DC;;SIN MAPEO;
PUBLICIDAD;7;PUBLICIDAD;GRUPO NIKATTO;BANDERINES - MATERIAL PUBLICITARIO;GORRA - MATERIAL PUBLICITARIO;;SIN MAPEO;
TORN EXTRAPLANO K-LATH PHIL P/BROCA ZINC;7;EXTRAPLANO;TORNILLERIA;TOR EXPLANO K-LATH PH P/BROCA ZN 8X1/2;TOR EXPLANO K-LATH PH P/BROCA ZN 8X3/4;Tornillería;alta;Tornillería
ARANDELA PLANA NEGRA;7;VARIOS;OTRA TORNILLERIA;"ARANDELA PLANA NEGRA  1/2""";"ARANDELA PLANA NEGRA  5/8""";Tornillería;alta;Tornillería
ARANDELA PRESI O WASA INOX 304;7;INOXIDABLE;TORNILLERIA;ARANDELA PRESION O WASA INOX 304 A2 1/4;ARANDELA PRESION O WASA  INOX 304 A2 5/16;Tornillería;alta;Tornillería
BROCHAS;6;ACCESORIOS DE PINTURAS;GRUPO NIKATTO;BROCHA PROFESIONAL 2 PULG;BROCHA PROFESIONAL 1 PULG;Herramientas Industriales;alta;Herramientas Industriales
HERRAMIENTA AUTOMOTRIZ;6;ENGRASADORAS;GRUPO NIKATTO;ACEITERA 125CC 20.421   HDM-125CC;ACEITERA 500CC 20.425  HDM-500CC;Herramienta Automotriz;alta;Herramienta Automotriz
TORN EXTRAPLANO K-LATH PHIL P/AGUDA ZINC;6;EXTRAPLANO;TORNILLERIA;TOR EXPLANO K-LATH PH P/AGUDA ZN 8X 1/2;TOR EXPLANO K-LATH PH P/AGUDA ZN 8X 3/4;Tornillería;alta;Tornillería
TUERCA MARIPOSA NIQUEL;6;TUERCAS;TORNILLERIA;TUERCA MARIPOSA NIQUEL 3/16 -24;TUERCA MARIPOSA NIQUEL 1/4-20;Tornillería;alta;Tornillería
TUERCA HEX CIEGA;6;TUERCAS;TORNILLERIA;TUERCA HEXAGONAL CIEGA NIQ 3/16 (10-24);TUERCA HEXAGONAL CIEGA NIQ 1/4-20;Tornillería;alta;Tornillería
TALADRO DE ARBOL;6;TALADRO DE ARBOL;GRUPO NIKATTO;"TALADRO DE ARBOL  DE 1500 WATTS. 12 VELOCIDADES CAPAC MANDRIL 32MM (1 1/4""). ALTURA 1710 MM  110 VOLTIOS";"TALADRO DE ARBOL  DE 1500 WATTS. 12 VELOCIDADES CAPAC MANDRIL 32MM (1 1/4""). ALTURA 1710 MM 220 VOLTIOS";Herramientas Eléctricas;alta;Herramientas Eléctricas
NORDIC;5;RUBATEX;GRUPO IMPORTADOS;"RUBATEX 5/8 X 1/2"" 1.8MTS";"RUBATEX 3/4 X 1/2"" 1.8MTS";;SIN MAPEO;
TUERCA HEXAGONAL PESADA;5;TUERCAS;TORNILLERIA;TCA HEX PESADA ASTM A-194 GRADO 2H    3/4-10;TCA HEX PESADA ASTM A-194 GRADO 2H    7/8-9;Tornillería;alta;Tornillería
TUERCA HEXAGONAL INOX 304 A2 DIN 934 MILIMETRICA;5;INOXIDABLE;TORNILLERIA;TUERCA HEXAGONAL INOX 304 A2 DIN 934 M5-0,8;TUERCA HEXAGONAL INOX 304 A2 DIN 934 M10-1,5;Tornillería;alta;Tornillería
VARILLA ROSCADA MM INOX 304 A2 X METRICA;5;INOXIDABLE;TORNILLERIA;VARILLA ROSCADA MM INOX 304 A2 X METRO  5-0,8;VARILLA ROSCADA MM INOX 304 A2 X METRO  6-1,0;Tornillería;alta;Tornillería
DISCOS DE ALUMINIO;4;DISCOS PARA ALUMINIO;GRUPO DRAGON TOOLS;"DISCO CORTE ALUMINIO 80 DIENTES 10""X1""";"DISCO CORTE ALUMINIO 80 DIENTES 12""X1""";Herramientas de Corte;alta;Herramientas de Corte
IRWIN;4;PROM. ALIADOS NACIONALES;GRUPO IRWIN;"BROCA SDS PLUS 1/4"" X 6"" IRWIN";"BROCA CILINDRICA HSS DE 1/4"" TIW1120 IRWIN";;SIN MAPEO;
VARILLA ROSCADA NEGRA G2;4;VARILLAS;TORNILLERIA;VARILLA ROSC NEGRA G2 UNC X 1 MT 5/8;VARILLA ROSC NEGRA G2 UNC X 1 MT 3/4;Tornillería;alta;Tornillería
TUERCA DE UÑA ZINC RO;4;TUERCAS;TORNILLERIA;TUERCA DE UÑA ZINC RO3/16-24;TUERCA DE UÑA ZINC RO1/4-20;Tornillería;alta;Tornillería
TUERCA SEGURIDAD UNC INOX 304 A2;4;INOXIDABLE;TORNILLERIA;TUERCA SEGURIDAD UNC INOX 304 A2 1/4-20;TUERCA SEGURIDAD UNC INOX 304 A2 5/16-18;Tornillería;alta;Tornillería
HANDYMAN HERRAMIENTA MANUAL;3;CORTATUBO;GRUPO OTRAS LINEAS;"HANDYMAN CORTATUBO  3-28MM (1/8-1-1/8"")";HANDYMAN DECAMETRO 20MTS CRP-06;Herramientas Manuales;alta;Herramientas Manuales
TLLO HEX. G-2 NEGRO UNC;3;INOXIDABLE;TORNILLERIA;TORNILLO HEXG-2 NEGRO UNC 3/8 X 1 1/2;TUERCA HEXAGONAL INOX 304 A2 DIN 934 M6-1,0;Tornillería;alta;Tornillería
VIRUTEX;3;VIRUTEX;GRUPO IMPORTADOS;PERFILADOR DE CANTOS 40MM VIRUTEX;JGO 6 CUCHILLAS PERFILADOR VIRUTEX AU93;;SIN MAPEO;
CINTAS;2;CINTA TEFLON;GRUPO NIKATTO;CINTA TEFLON 12MM X 0.075MM X 10M X 0.20G/CM3;CINTA TEFLON 19MM X 0.2MM X 15M X 0.20G/CM3;;SIN MAPEO;
ABANICOS RECARGABLES;2;ABANICOS RECARGABLES;GRUPO NIKATTO;VENTILADOR RECARGABLE 10 PULG;VENTILADOR RECARGABLE 12 PULG;Herramientas de Carga;alta;Herramientas de Carga
VARIOS;2;VARIOS;VARIOS;MANIJA GALV 3 1/2;"TORQUIMETRO 1/2"" 300-1800LB J6068C PROTO";;SIN MAPEO;
TORN HEX MM 8,8 DIN 931;2;MILIMETRICO;TORNILLERIA;TORN HEX MM 8,8  TROP R TOTAL 10-1,25 X 20;TORN HEX MM 8,8  TROP R TOTAL 10-1,25 X 30;Tornillería;alta;Tornillería
ARANDELA NEOPRENO;2;ARANDELA;TORNILLERIA;ARANDELA NEOPRENO # 8 # 10;ARANDELA NEOPRENO # 12 # 14;Tornillería;alta;Tornillería
GRAINGER;1;PROM. ALIADOS NACIONALES;GRUPO GRAINGER;CORTA TUBO PVC DE 1.5/8;;;SIN MAPEO;
RIELES HYSSA TOOLS;1;RIEL SENCILLO;GRUPO OTRAS LINEAS;"RIEL 1MM X 500MM 20"" CAFE - CAPACIDAD 50LB";;;SIN MAPEO;
WEILER;1;WEILER;GRUPO IMPORTADOS;"GRATA CIRCULAR ENTORCHADA 4"" X 5/8"" X 7/8"" 20.000 RPM";;;SIN MAPEO;
